Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1666975354.3170865,0,60154,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
1666975355.318747,0,60155,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
1666975356.316996,0,60156,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
1666975357.314277,0,60157,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
1666975358.312899,0,60158,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
1666975359.3151016,0,60159,0,GPS1_Frame,42.34328166666666,-71.078745,16.0,328768.12330582656,4689984.287557284,19,T,1
1666975360.31383,0,60160,0,GPS1_Frame,42.34328000000001,-71.07873833333333,15.7,328768.66795529,4689984.089060085,19,T,1
1666975361.3147187,0,60161,0,GPS1_Frame,42.34327499999999,-71.07871833333334,15.0,328770.3019038519,4689983.493568743,19,T,1
1666975362.3142397,0,60162,0,GPS1_Frame,42.343265,-71.078695,14.5,328772.1968659876,4689982.336152619,19,T,1
1666975363.3126216,0,60163,0,GPS1_Frame,42.34325833333334,-71.07867333333334,14.0,328773.96358425304,4689981.552234917,19,T,1
1666975364.312079,0,60164,0,GPS1_Frame,42.34325166666666,-71.07865666666666,13.6,328775.31842208107,4689980.778387128,19,T,1
1666975365.3127983,0,60165,0,GPS1_Frame,42.343246666666666,-71.07863833333334,13.2,328776.81507829705,4689980.18625384,19,T,1
1666975366.3108788,0,60166,0,GPS1_Frame,42.34324166666667,-71.07862333333334,12.9,328778.0371475015,4689979.600833746,19,T,1
1666975367.31069,0,60167,0,GPS1_Frame,42.34323833333333,-71.07861,12.6,328779.12644768367,4689979.20384097,19,T,1
1666975368.3161478,0,60168,0,GPS1_Frame,42.34323166666666,-71.07859166666667,12.4,328780.61858014716,4689978.426637827,19,T,1
1666975369.3130698,0,60169,0,GPS1_Frame,42.343225,-71.07855500000001,12.2,328783.6209432276,4689977.6125152735,19,T,1
1666975370.3074095,0,60170,0,GPS1_Frame,42.34322333333333,-71.07850166666667,12.2,328788.0098162597,4689977.320043556,19,T,1
1666975371.307409,0,60171,0,GPS1_Frame,42.34323833333333,-71.07844,12.1,328793.13039833563,4689978.861500718,19,T,1
1666975372.306116,0,60172,0,GPS1_Frame,42.343271666666666,-71.07837666666666,11.8,328798.4380346259,4689982.4353830535,19,T,1
1666975373.306225,0,60173,0,GPS1_Frame,42.34331999999999,-71.07831666666667,11.3,328803.5117925349,4689987.681617319,19,T,1
1666975374.3055942,0,60174,0,GPS1_Frame,42.34337000000001,-71.07825666666666,11.3,328808.59006663103,4689993.112925765,19,T,1
1666975375.3066564,0,60175,0,GPS1_Frame,42.34342,-71.07819166666667,11.4,328814.08021269785,4689998.534170469,19,T,1
1666975376.3064415,0,60176,0,GPS1_Frame,42.343473333333336,-71.07812666666668,11.8,328819.57939714973,4690004.32556065,19,T,1
1666975377.3057551,0,60177,0,GPS1_Frame,42.34352666666667,-71.07806333333333,12.1,328824.94127966696,4690010.120310461,19,T,1
1666975378.3019717,0,60178,0,GPS1_Frame,42.34358,-71.07799833333334,12.2,328830.4404463662,4690015.911708735,19,T,1
1666975379.3027897,0,60179,0,GPS1_Frame,42.34363833333334,-71.07793333333333,12.3,328835.95317306754,4690022.258323181,19,T,1
1666975380.3036258,0,60180,0,GPS1_Frame,42.343700000000005,-71.07786333333334,12.6,328841.88681356586,4690028.965017465,19,T,1
1666975381.3022158,0,60181,0,GPS1_Frame,42.34376,-71.07778666666667,12.7,328848.3650902334,4690035.473225434,19,T,1
1666975382.302748,0,60182,0,GPS1_Frame,42.34382166666666,-71.07770666666667,12.7,328855.12246225483,4690042.159799875,19,T,1
1666975383.303555,0,60183,0,GPS1_Frame,42.34388666666667,-71.077625,13.0,328862.0261584218,4690049.213167077,19,T,1
1666975384.3021054,0,60184,0,GPS1_Frame,42.34395166666666,-71.07754166666668,13.1,328869.06713297084,4690056.263186053,19,T,1
1666975385.299828,0,60185,0,GPS1_Frame,42.34402,-71.07745833333334,13.2,328876.11713750183,4690063.683353154,19,T,1
1666975386.3022327,0,60186,0,GPS1_Frame,42.34408833333334,-71.077375,13.2,328883.1671273544,4690071.1035269955,19,T,1
1666975387.300644,0,60187,0,GPS1_Frame,42.34415666666667,-71.07729333333333,13.1,328890.07981090434,4690078.52706187,19,T,1
1666975388.3001025,0,60188,0,GPS1_Frame,42.34422500000001,-71.07721,13.1,328897.1297715496,4690085.947249054,19,T,1
1666975389.2995179,0,60189,0,GPS1_Frame,42.344294999999995,-71.07712333333333,13.1,328904.45882143156,4690093.545805625,19,T,1
1666975390.2978091,0,60190,0,GPS1_Frame,42.34436833333333,-71.07703333333333,13.4,328912.0714801714,4690101.507803124,19,T,1
1666975391.301877,0,60191,0,GPS1_Frame,42.34443833333333,-71.076945,13.7,328919.53778910614,4690109.103020811,19,T,1
1666975392.2993805,0,60192,0,GPS1_Frame,42.34450833333334,-71.07685833333333,13.9,328926.8667912376,4690116.701599667,19,T,1
1666975393.302946,0,60193,0,GPS1_Frame,42.34457666666667,-71.07677666666667,14.2,328933.77938508615,4690124.125175486,19,T,1
1666975394.2979348,0,60194,0,GPS1_Frame,42.34463666666667,-71.07670166666666,14.2,328940.1202004219,4690130.636817614,19,T,1
1666975395.296835,0,60195,0,GPS1_Frame,42.34469000000001,-71.07663666666667,14.9,328945.6191805231,4690136.428301767,19,T,1
1666975396.299047,0,60196,0,GPS1_Frame,42.34474333333333,-71.07657833333333,15.9,328950.56899033475,4690142.23320259,19,T,1
1666975397.2962415,0,60197,0,GPS1_Frame,42.3448,-71.07652,16.8,328955.52783214446,4690148.408248133,19,T,1
1666975398.2951548,0,60198,0,GPS1_Frame,42.34485333333334,-71.076455,17.0,328961.0267860976,4690154.199743755,19,T,1
1666975399.2998037,0,60199,0,GPS1_Frame,42.34491166666667,-71.076385,16.8,328966.9511602084,4690160.536397082,19,T,1
1666975400.2947543,0,60200,0,GPS1_Frame,42.344969999999996,-71.07630999999999,16.9,328973.2873933263,4690166.862997004,19,T,1
1666975401.2945824,0,60201,0,GPS1_Frame,42.34503333333334,-71.07623333333332,17.3,328979.77446305833,4690173.741461923,19,T,1
1666975402.296118,0,60202,0,GPS1_Frame,42.34509666666666,-71.076155,17.8,328986.3988098422,4690180.6165800765,19,T,1
1666975403.2952979,0,60203,0,GPS1_Frame,42.34516166666667,-71.076075,18.4,328993.16495232546,4690187.673422558,19,T,1
1666975404.2957733,0,60204,0,GPS1_Frame,42.345225,-71.07599499999999,18.5,328999.92656250746,4690194.545200535,19,T,1
1666975405.293066,0,60205,0,GPS1_Frame,42.345288333333336,-71.07591833333332,18.8,329006.4135813261,4690201.423688887,19,T,1
1666975406.29291,0,60206,0,GPS1_Frame,42.34534999999999,-71.07584333333332,19.0,329012.75878005056,4690208.12046419,19,T,1
1666975407.295091,0,60207,0,GPS1_Frame,42.34541333333333,-71.07576833333333,19.1,329019.10848526855,4690215.002315671,19,T,1
1666975408.2940316,0,60208,0,GPS1_Frame,42.34547666666667,-71.07569333333332,19.3,329025.4581782489,4690221.884172612,19,T,1
1666975409.2928107,0,60209,0,GPS1_Frame,42.345535000000005,-71.07561833333332,19.1,329031.7943046908,4690228.210822856,19,T,1
1666975410.2930863,0,60210,0,GPS1_Frame,42.345589999999994,-71.07554833333333,19.0,329037.70951849886,4690234.177391578,19,T,1
1666975411.2925942,0,60211,0,GPS1_Frame,42.34563833333333,-71.07547666666666,18.8,329043.7439395393,4690239.400330797,19,T,1
1666975412.2927086,0,60212,0,GPS1_Frame,42.345679999999994,-71.07541333333333,18.7,329049.07383957645,4690243.899748442,19,T,1
1666975413.2915924,0,60213,0,GPS1_Frame,42.345713333333336,-71.07536166666667,18.4,329053.42012762185,4690247.497274644,19,T,1
1666975414.291313,0,60214,0,GPS1_Frame,42.345735,-71.07532333333333,18.2,329056.6364837376,4690249.826117329,19,T,1
